"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ"
0,15,1815,9.4,11,16.1,10.6,11.9,55,0,0,0,0,12.1,67,4.5
0,20,1069,14.2,15.9,22.8,16.5,18,143,746,2.3,6.3,15,20.8,172,8.6
0,25,674,18.4,20.3,29,23.4,24,242,395,3.9,11.2,32,26.1,302,12.1
0,30,517,22.2,24.2,34.3,29,29.9,338,156,5,20.3,48,28.9,446,14.9
0,35,442,25.4,27.5,38.7,33.4,35.7,427,75,5.7,31,61,30.2,597,17.1
0,40,401,28.3,30.5,42.5,36.7,41.3,510,41,6,43.2,71,30.6,751,18.8
0,45,371,30.9,33.1,45.6,39.6,46.8,585,30,6.1,50.7,77,30.5,903,20.1
0,50,343,33.1,35.5,48.3,42.4,52.2,654,29,6,51.7,81,30.1,1054,21.1
0,55,313,35.2,37.6,50.5,45.3,57.5,717,29,5.9,50.4,84,29.4,1201,21.8
0,60,284,37,39.5,52.5,48.5,62.6,775,29,5.7,49.9,85,28.7,1344,22.4
0,65,257,38.7,41.2,54.1,51.8,67.6,829,27,5.5,51.1,86,27.9,1484,22.8
0,70,233,40.3,42.8,55.6,55.1,72.5,878,24,5.3,53.3,86,27,1619,23.1
0,75,212,41.7,44.2,56.8,58.4,77.3,923,21,5.1,55.9,85,26.2,1750,23.3
0,80,194,43,45.6,57.7,61.6,82,966,18,4.9,58.7,84,25.3,1876,23.5
0,85,178,44.2,46.8,58.5,64.7,86.6,1005,16,4.8,61.7,83,24.5,1999,23.5
0,90,163,45.3,47.9,59.1,67.8,91,1042,14,4.6,63.8,82,23.7,2118,23.5
0,95,150,46.3,49,59.8,71.3,95.4,1077,14,4.4,64.1,80,23,2233,23.5
1,15,2539,6.8,8.3,12,7.7,10.6,31,0,0,0,0,7.2,36,2.4
1,20,1614,11.2,12.9,18.6,12.1,16.1,98,925,1.8,4.9,10,15.5,114,5.7
1,25,1073,15.3,17,24.8,17.2,21.4,178,541,3.4,9,24,20.9,218,8.7
1,30,768,18.8,20.7,30.1,22.3,26.6,259,305,4.6,13.9,39,24,338,11.3
1,35,615,22,23.9,34.6,26.8,31.8,337,154,5.3,20.9,51,25.6,467,13.3
1,40,530,24.7,26.8,38.3,30.3,36.8,410,85,5.6,29,59,26.4,599,15
1,45,480,27.2,29.3,41.5,33.2,41.7,478,50,5.7,38.1,65,26.6,731,16.3
1,50,445,29.3,31.5,44.1,35.5,46.5,540,35,5.7,45.7,69,26.4,863,17.3
1,55,416,31.3,33.5,46.4,37.7,51.3,599,30,5.6,49.1,72,26,993,18.1
1,60,387,33,35.3,48.3,39.9,56,653,29,5.4,49.1,73,25.5,1121,18.7
1,65,359,34.6,36.9,50,42.1,60.6,703,28,5.3,48.7,74,24.9,1245,19.2
1,70,331,36,38.4,51.4,44.4,65.1,750,27,5.1,48.8,74,24.2,1366,19.5
1,75,306,37.3,39.7,52.6,46.8,69.6,793,26,4.9,49.3,74,23.5,1484,19.8
