"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ"
-1,15,3126,8.4,10.7,10.9,6.7,11,36,0,0,0,0,9.9,60,4
-1,20,1923,11.5,13.6,12.7,9.2,14.4,72,1203,5.1,7.3,29,13.1,126,6.3
-1,25,1375,14.1,16.1,14.5,11.6,17.7,109,549,4.9,10.7,35,14.4,197,7.9
-1,30,1063,16.4,18.2,16.2,13.9,20.9,144,312,4.6,13.7,39,14.8,271,9
-1,35,860,18.4,20.1,17.7,16.2,24,178,203,4.3,16.4,41,14.8,346,9.9
-1,40,715,20.2,21.8,19.1,18.4,26.9,209,145,4,18.7,42,14.6,419,10.5
-1,45,605,21.7,23.3,20.2,20.6,29.8,238,110,3.8,20.9,43,14.3,490,10.9
-1,50,519,23.1,24.6,21.1,22.8,32.6,264,86,3.6,22.9,43,13.9,560,11.2
-1,55,450,24.4,25.8,21.9,24.9,35.4,289,69,3.4,25,43,13.6,628,11.4
-1,60,395,25.5,26.9,22.6,27,38.1,312,56,3.2,27.1,43,13.2,694,11.6
-1,65,350,26.6,27.9,23.2,29.1,40.8,333,45,3.1,29.4,43,12.8,757,11.7
-1,70,313,27.6,28.8,23.8,31.1,43.4,352,37,2.9,31.9,43,12.4,819,11.7
-1,75,283,28.4,29.6,24.4,33.2,46,370,30,2.8,34.4,42,12,879,11.7
-1,80,257,29.3,30.4,25,35.2,48.6,386,25,2.7,36.8,42,11.7,938,11.7
-1,85,235,30,31.1,25.5,37.2,51.1,402,22,2.6,39.1,41,11.3,994,11.7
-1,90,217,30.7,31.8,26.1,39.1,53.6,416,19,2.5,41.2,41,11,1049,11.7
-1,95,200,31.4,32.4,26.6,41.1,56.1,429,16,2.4,43.3,40,10.7,1103,11.6
-1,100,186,32,33,27,43.1,58.5,441,15,2.3,45.2,40,10.4,1155,11.5
-1,105,173,32.6,33.5,27.5,45,60.9,453,13,2.3,47.2,39,10.1,1205,11.5
-1,110,161,33.1,34.1,27.9,46.9,63.3,464,12,2.2,49.1,39,9.8,1255,11.4
-1,115,151,33.6,34.5,28.2,48.8,65.7,474,10,2.1,51.1,38,9.6,1303,11.3
-1,120,141,34.1,35,28.6,50.7,68,483,9,2.1,52.9,37,9.3,1349,11.2
-1,125,133,34.5,35.4,28.9,52.6,70.3,492,9,2,54.7,37,9.1,1395,11.2
-1,130,125,35,35.8,29.2,54.5,72.6,500,8,1.9,56.4,36,8.9,1439,11.1
-1,135,118,35.4,36.2,29.4,56.3,74.9,508,7,1.9,58.2,36,8.7,1483,11
-1,140,112,35.8,36.6,29.7,58.2,77.2,515,7,1.8,60,35,8.5,1525,10.9
-1,145,106,36.1,36.9,29.9,60,79.4,522,6,1.8,61.9,34,8.3,1566,10.8
-1,150,100,36.5,37.2,30.1,61.9,81.7,529,5,1.7,64,34,8.1,1607,10.7
-1,155,95,36.8,37.6,30.3,63.7,83.9,535,5,1.7,66,33,7.9,1646,10.6
-1,160,91,37.1,37.9,30.5,65.5,86.1,541,5,1.7,67.7,33,7.7,1685,10.5
-1,165,86,37.4,38.1,30.7,67.3,88.3,546,4,1.6,69.2,32,7.6,1723,10.4
-1,170,82,37.7,38.4,30.9,69.1,90.4,551,4,1.6,70.2,32,7.4,1760,10.4
-1,175,78,38,38.7,30.9,70.9,92.6,556,4,1.5,71.1,31,7.3,1796,10.3
0,20,2320,9.4,11.3,11.3,7.9,11.6,42,1638,3.8,5.4,17,8.9,71,3.5
0,25,1619,11.8,13.6,13,10.1,14.5,72,701,3.9,8.4,23,10.5,123,4.9
0,30,1235,13.9,15.6,14.7,12.3,17.3,102,385,3.7,11.1,26,11.3,180,6
0,35,989,15.8,17.4,16.3,14.5,20,131,246,3.5,13.5,28,11.6,238,6.8
0,40,815,17.5,19,17.6,16.6,22.7,160,173,3.3,15.6,30,11.7,296,7.4
0,45,685,19,20.4,18.8,18.7,25.3,187,130,3.1,17.6,31,11.6,354,7.9
0,50,584,20.4,21.7,19.7,20.7,27.9,212,101,3,19.4,32,11.5,411,8.2
0,55,504,21.6,22.9,20.5,22.7,30.4,236,80,2.9,21.4,33,11.3,468,8.5
0,60,439,22.7,24,21.1,24.7,32.9,258,64,2.8,23.4,33,11.1,523,8.7
